"경기 여주군",1076,1041,1006,900,1041,909,958,915,902,891,-,-,-,-
"연천군",446,445,398,380,371,349,333,367,335,413,437,413,376,403
"가평군",457,463,411,397,415,452,415,417,399,420,359,366,360,363
"양평군",500,631,553,609,651,614,633,611,689,679,630,666,602,629
"강원도",14213,13653,12539,12372,13617,12373,12112,12477,12408,12426,10981,10662,10929,10058
"춘천시",2391,2233,2148,2066,2304,2220,2113,2276,2404,2305,2136,2042,2057,1993
"원주시",2976,2789,2699,2805,3098,2880,2866,2939,2943,2979,2546,2509,2605,2468
"강릉시",2095,2070,1774,1730,1909,1640,1654,1641,1671,1636,1460,1298,1402,1236
"동해시",1081,989,871,868,888,789,824,767,792,769,727,703,667,662
"태백시",461,447,422,446,496,474,452,475,402,419,338,336,300,244
"속초시",856,780,676,633,700,621,611,700,667,645,596,609,645,517
"삼척시",590,553,491,502,519,467,465,478,473,522,436,418,421,381
"홍천군",657,615,590,517,632,548,529,492,463,493,420,428,474,403
"횡성군",324,321,285,278,321,282,256,280,247,261,204,207,230,208
"영월군",296,338,275,247,280,246,228,233,234,197,183,172,166,163
"평창군",329,340,285,286,319,306,256,275,229,259,245,202,208,186
"정선군",282,294,296,262,324,257,285,271,256,266,212,241,196,176
"철원군",493,487,437,453,461,449,415,464,413,435,400,433,402,377
"화천군",297,286,273,262,293,259,250,243,256,277,238,248,267,221
"양구군",256,260,217,216,218,197,184,205,224,227,194,208,228,208
"인제군",349,366,355,382,435,372,357,386,335,374,338,322,379,335
"고성군",262,255,242,243,211,198,188,170,213,190,162,158,148,147
"양양군",218,230,203,176,209,168,179,182,186,172,146,128,134,133
"충청북도",14502,14226,13075,13273,14924,14064,13903,14670,14804,15139,13658,13366,13563,12742
"충북 청주시",6911,6811,6319,6536,7023,6714,6599,6951,7232,7481,6728,-,-,-
"충주시",1867,1796,1581,1569,1731,1614,1575,1722,1672,1596,1486,1440,1430,1428
"제천시",1026,1103,1008,989,1050,1028,935,1061,1065,1071,971,998,891,891
"청주시",-,-,-,-,-,-,-,-,-,-,-,8252,8529,7797
"충북 청원군",1385,1252,1174,1237,1824,1670,1732,1828,1846,1990,1869,-,-,-
"보은군",247,225,242,210,202,209,205,182,188,186,148,178,185,185
"옥천군",444,396,353,400,428,383,410,354,395,329,272,307,279,274
"영동군",363,369,346,332,349,307,303,342,296,330,278,255,245,228
"진천군",641,679,552,525,662,584,565,629,641,590,543,561,590,533
"괴산군",242,203,178,191,206,173,187,179,145,174,131,151,128,120
"음성군",849,838,754,769,875,824,842,841,787,848,742,716,756,772
"단양군",225,226,230,224,208,203,181,175,163,163,131,132,140,112
"증평군",302,328,338,291,366,355,369,406,374,381,359,376,390,402
"충청남도",18448,18461,17366,18504,20507,19749,19257,20242,20398,20448,18628,18200,18604,17302
"천안시",5730,6115,5898,6378,6960,6387,6017,6382,6770,7078,6356,6110,6412,6021
"공주시",1041,951,848,955,946,888,860,879,860,842,714,686,634,547
"보령시",926,902,775,858,834,848,782,811,820,743,641,689,636,627
"아산시",2361,2328,2181,2380,2908,3218,3501,3830,3905,4007,3665,3621,3760,3441
"서산시",1574,1554,1412,1472,1782,1667,1659,1715,1690,1749,1601,1678,1667,1564
"논산시",1033,1048,966,989,1072,959,928,930,960,929,805,814,815,713
"계룡시",321,320,295,385,425,428,457,431,427,387,352,313,313,371
"당진시",-,-,-,-,-,-,-,-,-,1833,1873,1848,1945,1717
"금산군",474,424,422,428,491,463,424,515,435,402,350,335,292,289
"충남 연기군",811,928,820,749,831,812,713,888,761,-,-,-,-,-
"부여군",593,515,499,504,472,468,403,424,365,403,349,328,346,292
"서천군",457,388,405,367,365,363,333,345,363,307,295,285,251,226
"청양군",249,248,214,215,222,219,188,201,195,197,203,173,170,135
"홍성군",709,667,664,660,714,664,613,611,578,595,580,549,613,691
"예산군",641,577,564,598,655,555,575,546,570,549,465,440,410,316
"태안군",471,456,421,462,477,441,440,403,424,427,379,331,340,352
"충남 당진군",1057,1040,982,1104,1353,1369,1364,1331,1275,-,-,-,-,-
"전라북도",18253,17087,15618,15450,17111,15878,15233,16100,16175,16238,14555,14231,14087,12698
"전주시",6470,6136,5723,5608,6165,5853,5422,5762,5852,5939,5400,5390,5370,4797
"군산시",2625,2522,2269,2292,2513,2324,2446,2566,2650,2750,2607,2485,2440,2104
"익산시",3471,3150,2874,2773,3013,2723,2498,2631,2594,2691,2341,2257,2297,2010
"정읍시",1183,1090,954,880,1005,851,811,912,886,845,735,708,692,646
"남원시",929,840,737,708,745,706,609,681,671,629,616,571,514,520
"김제시",811,781,682,730,763,679,710,681,698,661,559,518,476,454
"완주군",917,860,793,875,909,877,928,994,1011,979,812,797,902,809
"진안군",196,174,163,176,269,283,278,325,278,272,221,183,194,173
"무주군",180,180,179,192,226,206,204,181,198,178,151,168,144,124
"장수군",179,176,180,156,198,207,158,186,188,162,162,138,128,126
"임실군",226,191,173,179,239,266,257,246,230,239,211,210,189,162
"순창군",231,183,211,201,278,223,226,223,216,199,161,148,186,252
"고창군",380,385,327,346,385,341,337,346,353,328,281,338,288,253
"부안군",455,419,353,334,403,339,349,366,350,366,298,320,267,268
"전라남도",18168,17114,15716,15813,17746,16363,15995,16654,16612,16989,15401,14817,15061,13980
"목포시",2504,2366,2174,2254,2495,2635,2526,2601,2633,2566,2168,1936,1930,1823
"여수시",3082,2881,2520,2501,2728,2532,2437,2554,2658,2572,2424,2300,2503,2286
"순천시",2715,2647,2347,2351,2480,2297,2165,2136,2186,2224,2115,2035,2134,1961
