"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"인제군",14,14,14,14,14,14,14,14,14,14,14,14,14,14
"고성군",15,15,15,15,15,15,14,14,14,14,14,14,14,14
"양양군",15,15,15,15,15,14,14,14,14,14,14,14,14,14
"충청북도",245,248,252,253,254,256,258,259,260,259,259,259,260,260
"충북 청주시",47,51,54,54,56,57,59,59,60,60,60,60,-,-
"충주시",38,37,37,38,37,38,38,38,38,38,38,38,38,38
"제천시",23,23,24,24,24,24,24,24,24,24,24,24,24,24
"청주시",-,-,-,-,-,-,-,-,-,-,-,-,89,89
"충북 청원군",28,28,28,28,29,29,29,29,29,28,28,28,-,-
"보은군",16,16,16,16,15,15,15,15,15,15,15,15,15,15
"옥천군",12,12,12,12,12,12,12,13,13,13,13,12,12,12
"영동군",15,15,15,15,15,15,15,15,15,15,15,15,15,15
"진천군",15,15,15,15,15,15,15,15,15,15,15,15,15,15
"괴산군",19,19,15,15,15,15,15,15,15,15,15,15,15,15
"음성군",21,21,21,21,21,21,21,21,21,21,21,22,22,22
"단양군",11,11,11,11,11,11,11,11,11,11,11,11,11,11
"증평군",-,-,4,4,4,4,4,4,4,4,4,4,4,4
"충청남도",431,436,442,440,429,430,432,430,430,427,406,405,405,405
"천안시",55,57,61,62,65,68,68,69,70,70,70,70,71,72
"공주시",38,38,38,38,34,32,32,32,32,31,29,29,29,29
"보령시",30,30,31,30,29,29,29,29,29,29,29,29,29,29
"아산시",35,36,37,37,37,40,42,42,42,42,42,44,44,44
"서산시",29,30,30,30,28,28,29,29,29,28,28,28,28,28
"논산시",38,39,36,36,36,36,36,36,35,34,34,34,34,33
"계룡시",-,-,4,5,5,5,5,5,5,5,5,5,5,5
"당진시",-,-,-,-,-,-,-,-,-,-,31,30,30,30
"금산군",17,17,17,17,17,17,16,16,16,16,16,16,16,16
"충남 연기군",17,17,17,17,17,16,17,16,16,17,-,-,-,-
"부여군",30,30,30,30,29,27,26,25,25,25,25,25,25,25
"서천군",20,20,20,20,18,18,18,18,18,18,18,18,18,18
"청양군",16,16,15,13,13,13,13,13,13,12,12,12,12,12
"홍성군",26,26,26,26,25,25,25,24,24,24,24,22,21,21
"예산군",26,26,26,26,24,24,24,24,24,24,24,24,24,24
"태안군",21,21,21,20,20,20,20,20,20,20,19,19,19,19
"충남 당진군",33,33,33,33,32,32,32,32,32,32,-,-,-,-
"전라북도",416,415,420,423,420,420,417,413,414,413,414,414,415,416
"전주시",59,60,61,64,64,67,67,67,67,67,67,67,68,69
"군산시",52,52,53,54,54,53,53,53,55,55,56,56,56,56
"익산시",62,61,62,63,63,63,61,61,60,60,60,60,60,60
"정읍시",36,37,37,38,37,37,37,36,36,35,35,35,35,35
"남원시",28,27,27,27,27,27,27,27,27,27,27,27,27,27
"김제시",35,35,36,36,36,36,36,36,36,36,36,36,36,36
"완주군",30,30,30,30,30,30,30,29,29,29,29,29,29,29
"진안군",14,14,14,14,14,14,13,13,13,13,13,13,13,13
"무주군",12,12,12,12,11,10,10,10,10,10,10,10,10,10
"장수군",9,9,9,9,9,9,9,8,8,8,8,8,8,8
"임실군",14,14,15,15,15,15,15,15,15,15,15,15,15,15
"순창군",15,15,15,15,15,15,15,15,15,15,15,15,15,15
"고창군",24,24,24,23,22,21,21,21,21,21,21,21,21,21
"부안군",26,25,25,23,23,23,23,22,22,22,22,22,22,22
"전라남도",460,457,455,456,453,453,437,433,429,427,426,424,426,427
"목포시",26,26,28,29,30,31,30,30,31,31,31,31,31,32
"여수시",50,52,52,53,51,51,51,51,51,50,50,50,50,50
"순천시",36,36,37,37,38,38,38,39,40,39,40,40,41,41
"나주시",25,25,24,24,24,23,22,20,20,20,20,21,21,22
"광양시",28,28,27,28,28,28,28,28,28,28,28,28,28,28
"담양군",15,15,15,14,14,14,14,14,14,14,14,14,14,14
"곡성군",13,9,8,8,8,8,8,8,8,8,8,8,8,8
"구례군",10,10,10,10,10,10,10,10,10,10,10,10,10,10
"고흥군",22,22,22,22,21,21,19,18,18,17,17,17,17,17
"보성군",20,19,19,19,18,18,18,18,18,18,18,18,18,18
"화순군",18,18,18,18,18,18,17,17,16,16,16,16,16,16
"장흥군",16,16,15,15,15,15,15,15,15,15,15,15,15,15
"강진군",15,15,15,15,15,15,14,14,14,14,14,14,14,14
"해남군",24,24,24,24,24,24,24,24,22,22,22,20,21,21
"영암군",18,18,18,18,18,18,17,17,16,16,16,16,16,16
"무안군",21,21,21,20,19,20,17,17,17,18,18,18,18,18
"함평군",13,13,13,13,13,13,12,11,11,11,11,11,11,11
"영광군",19,19,19,19,19,19,18,18,16,16,14,14,14,13
"장성군",13,13,13,13,13,13,13,13,13,13,13,13,13,13
"완도군",22,22,22,22,22,22,21,21,21,21,21,21,21,21
"진도군",14,14,14,14,14,14,12,11,11,11,11,10,10,10
"신안군",22,22,21,21,21,20,19,19,19,19,19,19,19,19
"경상북도",493,497,502,503,500,497,496,494,491,484,477,478,476,469
"포항시",59,59,60,60,61,62,63,64,64,65,65,65,65,65
"경주시",46,46,46,46,46,47,46,44,44,44,43,43,43,43
"김천시",36,36,36,36,35,34,34,33,33,33,31,32,31,29
"안동시",32,32,32,32,32,32,31,31,31,31,31,31,31,30
"구미시",39,41,43,44,46,47,48,49,48,47,47,48,48,48
"영주시",19,19,19,19,19,19,19,19,19,18,18,18,18,18
"영천시",21,22,22,22,21,20,20,20,20,19,19,19,19,18
"상주시",31,31,31,31,30,30,30,30,29,29,28,28,28,28
"문경시",17,17,17,17,17,17,17,17,17,17,17,17,17,17
"경산시",28,29,30,30,30,30,29,29,30,30,30,30,31,31
"군위군",11,11,11,11,11,10,10,10,10,8,7,7,7,7
"의성군",20,20,20,20,20,20,20,19,18,18,18,17,17,17
"청송군",9,9,9,9,9,9,9,9,9,9,8,8,8,8
"영양군",6,6,6,6,6,6,6,6,6,6,6,6,6,6
"영덕군",10,10,10,10,10,10,10,10,10,9,9,9,9,9
"청도군",17,17,17,17,15,14,14,14,14,13,13,13,11,11
"고령군",12,12,12,12,12,11,11,11,10,10,9,9,9,9
"성주군",15,15,15,15,15,15,15,15,15,14,14,14,14,12
"칠곡군",20,20,21,21,21,21,21,21,21,21,21,21,21,21
"예천군",12,12,12,12,11,11,11,11,11,11,11,11,11,11
"봉화군",14,14,14,14,14,14,14,14,14,14,14,14,14,14
"울진군",14,14,14,14,14,14,14,14,14,14,14,14,14,13
"울릉군",5,5,5,5,5,4,4,4,4,4,4,4,4,4
"경상남도",468,476,482,493,491,498,495,495,495,491,493,493,498,500
"경남 창원시",43,44,45,45,46,46,46,46,-,-,-,-,-,-
"경남 마산시",38,39,39,39,40,40,40,40,-,-,-,-,-,-
"진주시",44,44,44,45,43,44,41,41,42,42,42,44,44,45
"경남 진해시",15,16,17,17,17,19,19,19,-,-,-,-,-,-
"통영시",19,19,19,19,20,20,20,20,19,19,19,19,20,20
"사천시",19,19,19,19,19,20,20,19,20,18,18,18,18,18
"김해시",46,48,51,56,56,56,56,57,57,57,58,57,58,58
"밀양시",23,23,23,24,24,24,23,23,23,22,22,21,21,21
"거제시",31,32,32,33,33,35,35,35,35,35,35,35,37,37
"양산시",26,27,28,31,31,32,33,33,32,32,33,33,35,35
"창원시",-,-,-,-,-,-,-,-,105,105,105,105,106,108
"의령군",14,14,14,14,14,14,14,14,14,14,14,14,14,14
"함안군",19,19,19,19,18,18,18,18,18,17,17,17,17,16
"창녕군",18,18,18,18,17,17,17,17,17,17,17,17,17,17
"고성군",19,19,19,19,19,19,19,19,19,19,19,19,19,19
"남해군",13,13,13,13,13,13,13,13,13,13,13,13,13,13
"하동군",19,19,19,19,18,18,18,18,18,18,18,18,17,17
"산청군",13,13,13,13,13,13,13,13,13,13,13,13,13,13
"함양군",13,13,13,13,13,13,13,13,13,13,13,13,13,13
"거창군",16,17,17,17,17,17,17,17,17,17,17,17,17,17
"합천군",20,20,20,20,20,20,20,20,20,20,20,20,19,19
"제주특별자치도",104,104,104,105,106,106,106,106,108,110,110,111,112,112
