"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"보은군",5.13,5.25,8.08,5.51,16.97,19.96,22.96,22.89,25.92,26.13,17.48,20.44,17.49
"옥천군",8.69,8.83,8.99,9.10,21.97,27.54,27.72,44.42,41.12,37.56,39.80,38.12,40.07
"영동군",-,-,1.93,1.97,23.94,29.84,39.66,37.61,47.41,51.32,45.51,47.24,49.32
"진천군",3.35,1.66,1.66,9.98,11.64,16.47,21.15,25.77,23.79,28.37,24.77,29.15,29.42
"괴산군",2.47,2.53,5.18,23.96,27.12,27.35,27.19,38.02,37.50,37.12,42.04,39.11,38.67
"음성군",7.00,8.17,8.14,9.22,10.19,17.87,16.72,19.76,28.37,29.04,29.94,32.52,32.16
"단양군",-,-,-,14.99,15.43,31.32,31.41,34.57,41.15,44.80,38.50,38.77,39.01
"증평군",-,-,-,3.28,3.21,6.22,18.09,17.89,17.64,23.34,26.05,31.64,30.00
"충청남도",3.50,3.79,4.74,6.53,7.52,9.66,11.14,16.19,15.61,16.36,17.19,18.81,19.30
"천안시",1.53,1.59,2.54,7.07,5.08,5.95,6.47,10.76,9.80,9.45,12.69,14.21,14.36
"공주시",4.58,6.91,8.49,7.79,11.06,16.78,18.52,23.21,24.85,26.43,26.64,28.16,27.86
"보령시",4.53,4.59,5.55,6.51,9.29,12.16,12.18,13.97,15.97,14.21,15.25,16.30,16.23
"아산시",3.62,2.99,4.40,5.67,6.77,5.81,7.80,12.44,11.29,11.77,13.59,15.31,15.11
"서산시",1.32,2.00,2.66,2.65,2.60,5.74,8.18,11.84,10.53,12.25,12.66,14.92,15.29
"논산시",8.10,6.64,7.45,9.13,15.45,20.34,20.46,25.10,27.44,28.42,28.61,30.45,30.59
"계룡시",3.22,3.21,11.64,2.71,2.65,2.41,7.02,20.89,16.30,28.88,21.97,24.66,26.36
"당진시",-,-,-,-,-,-,-,-,-,17.41,12.53,13.51,15.14
"금산군",6.59,5.00,8.56,12.16,19.07,29.96,26.68,63.65,42.83,43.08,45.09,48.94,52.84
"충남 연기군",8.46,10.66,11.86,10.88,17.51,19.07,20.13,19.54,22.92,-,-,-,-
"부여군",3.52,4.80,7.37,6.28,6.42,11.74,10.59,14.66,13.51,12.29,13.78,18.12,23.90
"서천군",4.45,4.57,6.22,11.18,11.44,11.57,14.98,18.31,23.51,23.76,23.96,25.99,22.84
"청양군",-,-,-,-,-,15.12,9.20,12.29,15.48,21.82,18.66,21.71,21.55
"홍성군",5.28,4.38,2.20,8.93,9.02,9.07,12.55,9.08,14.75,15.83,16.72,18.51,19.04
"예산군",3.16,4.36,2.20,5.58,7.89,9.08,17.21,19.54,19.67,20.96,21.13,23.55,23.96
"태안군",1.56,1.57,1.57,1.57,3.17,4.73,9.51,23.72,22.31,27.18,25.63,23.97,26.78
"충남 당진군",1.72,4.25,4.98,3.20,3.67,5.13,7.93,14.49,11.98,-,-,-,-
