"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"음성군",10520,10128,10907,11978,12941,12813,11336,11419,11643,11371,10555,13053,13038,12210
"단양군",3034,3071,3220,3323,3354,3220,3587,3192,3165,2926,2876,2921,2889,2741
"증평군",6464,3548,3668,4180,4383,4676,4745,4035,4075,3600,3754,3824,5350,4156
"충청남도",312739,364482,325444,336866,355213,355294,329626,317853,321187,287195,281428,289627,289952,286764
"천안시",102766,143587,113736,111692,106312,106618,103152,107523,110999,99132,95060,98408,99317,98101
"공주시",18516,20139,18455,18612,17065,15854,17272,16136,16294,14545,14618,14246,13517,12645
"보령시",14138,15321,14287,17500,16708,15081,16496,14257,13508,12654,13139,12173,13899,11899
"아산시",37644,46886,43098,50658,46461,63608,57492,47483,51139,44411,44293,48729,41674,45054
"서산시",28617,24339,22417,24833,30726,25756,25246,23685,23365,22678,23555,23050,24796,21886
"논산시",21688,19586,18498,16015,17809,15749,17306,16072,16506,15007,14570,14683,15459,13794
"계룡시",9438,8688,13114,12847,10976,14759,11630,11037,10386,9805,8239,7722,9991,8537
"당진시",-,-,-,-,-,-,-,-,-,27300,26334,25315,24410,24725
"금산군",7525,7912,6505,6595,8372,6481,6825,6109,5827,5402,5308,5281,5332,5121
"충남 연기군",13774,18933,12401,12598,11578,10794,11391,12136,12176,-,-,-,-,-
"부여군",7349,7265,7614,7196,7136,6832,6924,6400,6289,6167,5960,6029,5971,6021
"서천군",5239,5734,5663,5793,5781,6372,6235,6120,5424,5162,4974,4976,4767,4646
"청양군",2776,2985,3131,3108,3239,2837,3074,3064,2727,2837,2851,2951,3261,3517
"홍성군",14287,11223,11453,9751,9183,9360,9029,8068,8360,8516,9839,12001,12820,17436
"예산군",8922,8566,9237,9685,9339,9587,8529,8367,7805,7491,7030,7720,6946,6628
"태안군",6118,7378,7092,7538,7430,7133,6144,6201,6208,6088,5658,6343,7792,6754
"충남 당진군",13942,15940,18743,22445,47098,38473,22881,25195,24174,-,-,-,-,-
"전라북도",397299,329911,311537,327237,332957,322495,314137,305789,308011,271835,258198,274337,261832,248188
"전주시",146930,130603,119585,126545,125323,126611,117181,115287,111784,97671,96858,107301,98572,95810
"군산시",48366,46793,44167,48712,47257,54532,54761,50842,52339,47967,40730,41312,42522,39410
"익산시",59013,53724,52276,53965,52679,49285,49451,49681,56500,46222,43828,41348,40961,36918
"정읍시",42089,20040,18497,18969,19266,17179,18806,17875,16081,14596,13872,16054,13308,12448
"남원시",19188,14825,12508,12999,12863,12867,12286,11741,13878,10573,10359,10770,10199,9773
"김제시",20648,13602,14025,14569,13337,12966,13990,13437,13374,11049,10783,11302,11352,10559
"완주군",14700,13838,16109,14702,14621,15527,13720,13912,12429,13024,12159,15526,16082,12245
"진안군",6910,6701,5373,4475,11191,4100,4727,3910,4755,2931,2930,3262,2746,2599
"무주군",2513,2711,2814,2879,4063,3533,3764,2933,3221,2325,2410,2470,2163,2030
"장수군",11165,4478,2498,2917,5819,2874,2455,2631,2195,2337,2273,2561,2070,2518
"임실군",4604,3842,3970,4317,5596,3835,3819,3730,4436,3103,3211,3724,4011,4181
"순창군",3177,4485,5186,6593,5910,4842,4262,4341,3441,4495,4305,4799,4575,3988
"고창군",9711,6459,6952,7401,6763,6884,7611,8214,7217,7914,7582,7862,7186,8697
"부안군",8285,7810,7577,8194,8269,7460,7304,7255,6361,7628,6898,6046,6085,7012
"전라남도",326582,276573,284412,284276,287179,277906,281051,265600,261239,239026,244329,260278,250104,234132
"목포시",59458,52456,52210,49777,55094,53572,53722,45587,43122,40553,40704,42002,37683,37368
"여수시",51509,45734,50449,45626,45221,48923,44087,44396,43806,37349,39289,44052,39757,36031
"순천시",48012,43730,47847,46392,44977,40269,41308,42253,40245,39010,38413,41766,41230,37760
"나주시",17336,13423,13898,14987,14844,13172,12804,12358,10765,11393,10866,17548,23872,21938
"광양시",16381,16760,17233,17480,17384,18517,17346,17587,23171,17525,17309,18167,16768,19376
"담양군",6112,6725,6682,8447,8612,6180,6087,6683,6489,6053,5636,5612,5461,5448
"곡성군",3055,3246,3539,3828,4074,3560,3563,3460,2898,2936,3384,3197,3367,2942
"구례군",3064,3615,3407,3469,3277,3276,3289,3052,3155,2798,3058,3341,3206,3336
"고흥군",23439,7589,7158,7558,7323,6490,6785,6505,6007,5852,5469,5664,5375,5071
"보성군",6616,5515,5222,5767,4986,4843,4734,4622,4246,3876,3999,4560,4196,3802
"화순군",10643,10199,9594,10341,9560,9195,8982,8273,8513,7179,7396,7311,6876,6382
"장흥군",4238,4238,4296,4328,4295,3992,4250,5018,5536,5470,6269,6584,7184,3979
"강진군",4382,4251,4568,4928,4997,4899,5522,5653,6890,4773,5135,4972,4333,3270
"해남군",12381,10265,8538,8516,8563,7765,10236,7824,7252,7419,6878,6811,6412,5963
"영암군",9217,8381,8546,8939,8921,8666,9308,8281,7856,6937,6491,7292,6672,6167
"무안군",7241,7049,7643,8242,10987,12942,16330,11782,12311,9890,13913,12972,10713,10058
"함평군",5688,4257,5808,4209,4649,4082,4346,3712,3662,3415,3616,3321,3555,3258
"영광군",6652,6969,6398,7196,6344,6418,6452,6683,5732,7197,7322,6154,5470,5283
"장성군",10037,8225,7510,7716,8091,6925,7314,7519,6725,6777,6462,6452,6260,5692
"완도군",5340,5566,5379,5547,5323,4715,5110,4915,5000,4648,4310,4275,4231,4048
"진도군",3495,3213,3383,3717,3451,3091,3196,3304,2960,2893,2878,3008,2825,2676
"신안군",12286,5167,5104,7266,6206,6414,6280,6133,4898,5083,5532,5217,4658,4284
"경상북도",371006,360764,374711,391486,380925,363297,367244,354575,363511,335362,329118,337041,344730,315652
"포항시",68592,69614,73480,72537,70584,75312,70732,69648,71054,67451,62883,62838,64149,53166
"경주시",36788,35449,35270,38096,38566,32793,34330,33378,31550,30488,31183,29990,31815,28616
"김천시",23699,17051,16086,17198,19066,17788,16362,16397,19426,18692,17533,17704,25545,22286
"안동시",23502,25785,22568,22724,24452,26758,23337,23240,22478,20940,20537,22875,24765,20380
"구미시",64754,67492,71934,74077,70288,61231,69492,64282,70818,58961,58371,54010,57976,56007
"영주시",19031,13787,14543,14647,14865,14424,14214,13808,16384,14324,13768,13209,11947,15017
"영천시",14687,13809,13053,13661,16583,13201,13157,11833,14686,11398,10715,12262,12106,11446
"상주시",11557,12037,11504,12023,13009,12108,14655,12417,11735,11844,11188,13150,11672,10358
"문경시",8040,8203,8269,8376,8286,9911,10920,10450,9228,8544,8322,8948,8346,7953
"경산시",37531,40169,46422,47048,40139,36847,37566,38731,38519,36812,38741,45149,40218,35124
"군위군",3613,3407,3084,2797,2535,2408,2517,2415,2084,2161,2276,2603,2501,2375
"의성군",4309,4349,4507,4790,4790,4656,4772,4846,4070,4369,3958,4371,4131,4150
"청송군",2701,2600,2570,2738,2662,2722,2637,2519,2435,2618,2492,2635,2455,2351
"영양군",1408,1414,1645,1736,1480,1489,1671,1597,1448,1498,1615,1540,1431,1298
"영덕군",3801,4039,4492,7621,4435,6421,4034,3762,3545,3531,3841,3589,3609,3617
