"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"북구",2.16,2.18,2.42,2.39,2.15,2.11,2.77,2.78,2.47,2.93,3.37,3.57,3.81,3.85
"광산구",1.39,1.35,0.98,1.28,1.58,1.87,1.75,1.65,1.60,1.56,1.53,1.76,1.75,1.98
"대전광역시",2.23,2.42,2.41,2.66,2.85,2.90,3.37,3.33,3.30,3.35,3.46,3.53,3.69,3.76
"동구",2.08,2.93,3.41,3.81,4.09,4.07,4.88,4.82,5.17,5.16,4.79,5.30,5.43,5.53
"중구",1.86,1.88,1.88,1.90,2.26,2.27,2.65,2.63,2.64,2.27,1.89,1.91,2.34,2.77
"서구",1.60,1.57,1.37,1.38,1.79,2.00,2.00,2.00,2.00,2.22,2.20,2.42,2.24,2.24
"유성구",3.61,3.44,3.17,3.70,3.99,3.85,4.13,3.90,4.08,4.24,4.46,4.28,4.47,4.37
"대덕구",3.05,3.53,3.58,4.14,3.28,3.31,4.80,4.82,3.90,3.89,5.38,4.96,5.59,5.71
"울산광역시",1.03,1.20,1.29,1.46,1.55,1.80,2.60,2.57,2.55,2.53,3.03,3.43,3.32,3.41
"중구",0.86,0.85,0.85,0.85,0.85,0.86,1.74,1.72,1.29,1.29,1.70,2.51,2.45,2.47
"남구",0.86,1.15,1.15,1.16,1.46,1.45,2.04,2.03,2.33,2.02,2.58,2.88,2.91,2.94
"동구",0.54,0.54,0.54,0.54,1.10,1.13,1.15,1.17,1.74,1.71,1.68,1.70,1.14,1.72
"북구",2.28,2.87,3.42,4.03,3.21,3.60,4.66,4.51,3.84,4.35,4.85,4.77,4.71,4.61
"울주군",1.15,1.15,1.15,1.13,1.64,2.61,4.09,3.98,3.91,3.85,4.79,5.60,5.47,5.47
"경기도",1.55,1.65,2.05,2.27,2.49,2.73,3.05,2.96,3.17,3.36,3.61,3.89,3.93,3.96
"수원시",0.68,0.87,1.43,1.87,1.87,2.06,2.14,2.13,2.11,2.14,2.26,2.81,2.79,2.93
"성남시",1.04,1.02,1.22,1.24,0.94,1.06,1.14,1.12,1.33,1.33,1.74,2.05,2.16,2.26
"의정부시",0.51,0.50,0.50,0.73,1.66,1.39,1.39,1.39,1.39,1.40,1.39,1.39,1.38,1.37
"안양시",0.83,0.97,1.12,1.28,1.60,1.77,1.78,1.77,1.95,1.96,1.97,2.33,2.34,2.51
"부천시",1.18,1.40,1.99,2.09,2.20,2.42,2.53,2.51,2.75,2.76,2.78,2.81,2.94,2.70
"광명시",0.89,1.21,2.14,2.23,1.92,1.93,2.86,2.62,1.97,2.25,2.83,2.87,2.32,2.95
"평택시",1.92,1.89,2.08,2.27,2.24,2.21,2.44,2.38,2.11,2.07,2.04,2.45,2.61,2.55
"동두천시",2.68,2.52,3.63,3.50,4.51,4.40,4.29,4.18,4.16,5.15,4.10,4.10,4.08,5.09
"안산시",0.61,0.75,0.88,1.43,1.56,1.98,2.13,2.10,2.38,2.66,2.66,2.97,3.44,3.77
"고양시",1.04,1.02,1.22,1.43,2.16,2.45,2.66,2.63,2.70,2.99,2.93,3.18,3.02,3.37
"과천시",9.95,11.71,14.76,14.88,14.45,12.95,13.88,13.84,13.90,15.48,17.00,17.10,17.40,18.82
"구리시",1.04,1.03,1.04,1.03,1.52,2.04,2.05,2.04,2.57,2.60,3.16,3.21,3.21,3.10
"남양주시",1.24,1.20,1.78,2.12,2.03,2.17,2.86,2.66,3.11,3.34,3.72,3.77,3.83,3.93
"오산시",2.54,3.30,3.08,2.93,4.11,4.66,4.38,3.84,4.13,3.99,4.87,5.27,5.32,4.31
"시흥시",0.81,0.79,1.29,1.54,1.79,1.78,2.01,1.98,2.49,3.00,3.28,3.29,3.77,3.47
"군포시",1.46,1.45,1.44,1.82,2.18,2.52,2.54,2.43,2.44,2.44,2.79,2.77,2.78,2.81
"의왕시",2.09,2.06,2.06,2.17,2.22,2.23,2.84,2.71,4.01,3.88,5.01,5.05,5.07,5.10
"하남시",1.56,2.31,2.26,2.23,2.92,3.48,4.04,3.99,4.04,3.42,3.45,3.36,3.00,2.84
"용인시",2.43,2.50,2.59,2.61,3.00,3.55,3.69,3.54,3.46,3.60,3.51,3.64,3.79,4.04
"파주시",2.10,2.03,2.29,2.05,2.63,2.89,3.41,3.09,4.22,5.58,6.47,7.78,7.80,7.43
"이천시",3.15,3.67,3.64,3.60,4.09,4.07,5.57,5.43,5.38,5.37,5.84,6.34,6.34,5.70
"안성시",1.98,1.95,3.82,3.76,3.05,4.13,4.10,3.93,4.43,4.41,4.39,6.05,6.10,6.01
"김포시",1.97,1.92,1.93,2.41,2.43,2.27,3.54,3.36,2.72,2.78,2.88,2.64,2.86,3.03
"화성시",2.96,2.58,3.04,3.22,2.42,2.00,2.85,2.77,3.10,3.24,3.77,3.88,3.69,3.43
"광주시",3.13,3.40,3.26,3.15,3.92,4.26,4.61,4.40,4.90,5.08,4.88,4.68,4.48,4.58
"양주시",2.03,1.97,1.87,2.36,2.78,2.78,3.29,3.05,3.49,3.99,4.52,5.44,5.85,5.35
"포천시",2.00,2.00,2.58,3.18,3.79,4.99,5.03,5.04,6.33,6.98,7.66,8.34,8.38,8.40
"여주시",-,-,-,-,-,-,-,-,-,-,20.12,19.93,19.81,7.17
"경기 여주군",11.54,12.50,15.35,16.19,14.96,16.77,17.58,17.39,17.41,18.26,-,-,-,-
"연천군",2.02,2.05,6.37,6.51,8.77,8.79,8.84,8.85,13.36,13.16,10.96,11.02,10.93,8.71
"가평군",5.45,5.47,7.29,10.94,10.77,10.51,15.63,15.28,13.48,14.80,19.67,21.24,20.97,16.01
"양평군",3.58,3.54,7.01,8.11,9.10,12.25,14.22,13.57,15.09,15.66,18.34,18.98,17.54,9.88
"강원도",5.11,5.19,5.22,6.64,8.84,9.28,10.77,10.65,10.41,10.85,11.80,12.82,13.29,13.61
"춘천시",3.95,4.33,4.31,5.07,6.59,6.87,7.17,7.04,7.33,7.32,7.29,6.89,6.83,6.77
"원주시",2.49,2.11,2.08,3.40,3.35,3.62,4.22,4.13,3.43,4.01,5.23,4.89,5.41,5.62
"강릉시",4.80,4.84,4.90,4.95,8.16,8.24,11.04,10.98,9.65,9.64,11.53,14.36,14.45,15.43
"동해시",6.88,6.95,7.05,7.18,5.17,6.27,9.45,9.45,6.26,6.39,8.41,8.46,8.52,5.36
"태백시",9.27,9.39,9.53,9.69,11.65,11.76,11.90,11.80,11.96,12.12,14.35,14.51,14.74,14.87
"속초시",4.49,4.55,4.59,6.97,8.20,8.27,8.35,8.30,8.36,8.38,7.22,8.49,9.76,11.00
"삼척시",6.60,6.73,6.84,6.97,12.71,12.68,12.51,12.49,12.45,12.42,12.32,13.83,14.12,14.37
"홍천군",2.80,2.78,2.82,2.86,7.13,7.11,7.18,7.15,7.15,7.17,7.08,8.52,8.53,8.56
"횡성군",2.26,2.26,2.29,2.33,4.63,6.91,6.80,6.78,6.76,6.72,8.90,11.02,13.11,13.05
"영월군",6.81,7.07,7.22,29.62,24.82,29.85,44.70,44.55,52.24,64.75,69.74,69.67,69.62,74.86
"평창군",8.63,11.03,11.10,11.28,13.64,13.73,13.75,13.75,13.77,13.75,13.74,16.03,16.09,16.16
"정선군",6.49,6.61,6.79,6.95,11.96,12.12,12.28,12.18,12.44,12.53,12.50,20.29,20.41,23.25
"철원군",5.97,6.04,6.13,8.33,10.54,10.48,12.59,12.26,12.48,12.51,14.75,14.71,14.34,12.50
"화천군",8.15,8.24,8.43,12.87,21.79,24.89,24.78,24.63,24.05,23.98,23.92,22.11,22.21,26.65
"양구군",18.19,18.44,18.62,23.51,28.04,28.17,32.83,32.05,31.41,30.70,29.67,29.30,37.36,37.48
"인제군",6.23,6.16,6.10,6.16,9.35,9.49,15.90,15.70,18.77,21.57,24.60,30.79,33.08,33.62
"고성군",12.22,12.36,12.51,15.98,32.91,33.14,36.34,36.53,36.60,33.20,32.90,39.64,43.25,43.17
"양양군",3.39,3.43,3.43,3.49,14.05,14.23,14.31,14.32,14.32,14.39,14.46,14.53,14.56,18.37
"충청북도",3.63,3.83,4.30,4.62,5.58,5.73,6.87,6.78,6.72,7.09,7.57,7.98,7.95,7.92
"충북 청주시",2.28,2.40,2.85,2.87,2.68,2.82,3.58,3.51,3.02,3.60,3.86,-,-,-
