"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"서천군",4337,4292,4416,4510,4503,4425,4372,4364,4342,4505,4613,4766,4564,4622
"청양군",2359,2272,2212,2166,2144,2112,2155,2075,2159,2294,2462,2833,2935,2981
"홍성군",6231,6106,5943,6049,6263,6524,6556,6546,6788,7018,7232,7515,7668,7927
"예산군",5983,5881,5847,5920,5881,5843,5815,5898,6101,6366,6479,6799,6773,6871
"태안군",4390,4586,4506,4576,4882,4851,4868,4981,5101,5389,5539,5621,5881,5941
"충남 당진군",6916,6974,7578,7618,8086,8245,8398,8978,9394,1495,-,-,-,-
"전라북도",119717,120165,118809,118818,120062,119821,122658,124705,128740,135999,139656,144902,146654,147505
"전주시",38812,39471,39213,39396,40250,40224,41158,42052,44883,49112,50713,51656,52338,52628
"군산시",17748,17768,17426,17398,17749,17656,19307,19938,20250,20990,21331,21866,22238,22221
"익산시",19409,19606,19718,19708,19684,19662,19860,20027,20147,21158,21811,22682,22895,23055
"정읍시",8083,8166,8032,7935,7938,7797,7822,7995,8077,8353,8481,8915,8864,8989
"남원시",7027,6939,6763,6633,6661,6672,6659,6509,6627,6717,6874,7335,7191,7171
"김제시",6223,6025,6000,6147,6207,6295,6265,6264,6319,6439,6473,6892,7049,7126
"완주군",4293,4265,4241,4325,4361,4361,4344,4536,4765,5142,5361,5982,6377,6475
"진안군",1731,1689,1656,1610,1561,1534,1522,1449,1532,1495,1555,1805,1841,1811
"무주군",2007,1988,1854,1873,1867,1906,1963,1992,2041,2099,2151,2327,2275,2270
"장수군",1519,1500,1481,1451,1423,1368,1367,1360,1368,1398,1447,1568,1454,1475
"임실군",2060,2058,2015,1965,1950,1917,1918,1932,1972,2046,2111,2231,2246,2209
"순창군",2084,2047,1972,1963,1957,1967,2015,2018,2030,2037,2044,2144,2164,2136
"고창군",4201,4235,4059,4065,4049,4035,4037,4143,4191,4442,4568,4756,4938,5088
"부안군",4520,4408,4379,4349,4405,4427,4421,4490,4538,4571,4736,4743,4784,4851
"전라남도",128218,126035,125074,124574,124763,124286,124750,125395,128465,132892,136889,142932,147198,149715
"목포시",18977,19348,19469,19379,19000,18896,19028,19109,19297,19686,20267,20532,20519,20867
"여수시",20573,20063,20098,20075,20249,20111,20101,20177,20536,21124,21535,22457,22847,23099
"순천시",16582,16077,16324,16189,16896,17187,17291,17565,18245,19060,19313,19834,21042,22155
"나주시",6281,6220,5909,5856,5720,5681,5629,5504,5701,5962,6198,6593,7150,7542
"광양시",7691,7623,8306,8452,8725,8951,9354,9621,9957,10306,10551,10871,11014,11348
"담양군",3304,3179,2993,3020,2883,2807,2803,2805,2890,3041,3341,3536,3731,3714
"곡성군",1944,1816,1767,1710,1696,1612,1656,1648,1720,1815,1937,2026,2057,2042
"구례군",2381,2374,2288,2232,2179,2113,2120,2099,2039,2032,2104,2236,2268,2249
"고흥군",5026,4911,4745,4642,4512,4500,4467,4606,4672,4732,4820,5089,5083,5093
"보성군",3795,3672,3436,3313,3265,3333,3285,3156,3257,3373,3480,3691,3894,3783
"화순군",3913,3841,3865,3966,3995,3905,3948,3995,4014,4062,4212,4292,4952,5078
"장흥군",3276,3316,3116,3138,3124,3104,3161,3046,3043,3213,3261,3408,3678,3612
"강진군",3130,3027,2826,2764,2757,2680,2588,2599,2651,2711,2757,2890,3070,3109
"해남군",5373,5436,5301,5319,5241,5242,5269,5117,5219,5390,5440,5564,5560,5510
"영암군",3490,3447,3214,3294,3300,3139,3046,3167,3427,3723,3933,4474,4599,4518
"무안군",3426,3389,3455,3463,3499,3512,3568,3706,3943,4146,4464,4953,5164,5329
"함평군",2306,2264,2203,2191,2194,2190,2192,2084,2132,2224,2351,2552,2385,2454
"영광군",4102,4074,4052,4049,4009,4011,4006,3988,4095,4277,4437,4703,4766,4672
"장성군",2796,2713,2689,2748,2827,2630,2612,2617,2715,2801,2913,3117,3184,3265
"완도군",4227,3967,3855,3667,3575,3563,3490,3612,3687,3900,4056,4202,4240,4366
"진도군",2606,2321,2356,2314,2267,2300,2271,2260,2267,2305,2398,2667,2815,2793
"신안군",3019,2957,2807,2793,2850,2819,2865,2914,2958,3009,3121,3245,3180,3117
"경상북도",181919,180444,181069,180991,183389,183408,184153,186693,193364,199547,205734,213813,218796,222541
"포항시",34328,33879,34262,34271,35003,35336,35531,36052,37378,38528,39424,40245,40356,41227
"경주시",19693,19892,19883,19832,19893,19605,19454,19845,20754,21238,21841,23235,23531,23826
"김천시",8640,8917,8835,8745,8839,8743,8887,8836,8887,9071,9286,9578,9837,10244
"안동시",12581,12387,12095,12146,12306,12322,12300,12469,12715,12845,13220,13477,13526,13741
"구미시",23311,23644,24633,24924,25633,25456,25710,26207,27862,29308,30259,31590,33464,34208
"영주시",8662,8608,8551,8454,8443,8515,8503,8631,8916,9177,9399,9462,9454,9477
"영천시",7579,7407,7502,7342,7354,7184,7313,7410,7590,7807,7927,8235,8606,8778
"상주시",7449,7163,6937,6845,6883,6906,6925,6974,7149,7247,7349,7459,7567,7650
"문경시",5635,5442,5393,5403,5450,5490,5484,5592,5643,5763,5825,5986,6021,5946
"경산시",13913,13664,13796,14229,14562,14803,15006,15244,15714,16347,17138,18174,19016,19459
"군위군",1748,1714,1715,1679,1627,1597,1544,1540,1593,1757,1823,1877,1835,1886
"의성군",4454,4282,4066,3880,3789,3746,3700,3652,3676,3722,3769,3976,4053,4016
"청송군",2293,2225,2057,2005,2026,2001,1995,1986,2028,2101,2168,2190,2169,2194
