"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"춘천시",253363,254323,254999,256239,258141,261975,264849,269950,272805,273364,274455,275791,277997,280707
"원주시",280738,284628,288454,294155,298762,303975,307882,314678,320536,323885,324837,327292,332995,337979
"강릉시",229073,227259,224391,222016,220484,218399,217464,218503,217571,217741,216806,215807,214560,213846
"동해시",101764,100727,99230,97497,96652,95652,95271,95236,95804,93897,95143,94562,93895,93297
"태백시",53948,53264,52463,51593,51490,51028,50424,50864,50176,49493,48794,48258,47501,47070
"속초시",89047,87933,87124,86073,85370,84599,83822,84302,83745,83579,83109,82432,81992,81793
"삼척시",75759,74301,73134,71750,70791,70954,71935,72046,72312,72463,73023,72314,70839,69599
"홍천군",71351,71907,70811,70037,70142,70360,69606,69893,69899,69727,70638,70451,70336,70076
"횡성군",44306,44297,43678,42982,43176,43413,44121,44254,44360,44615,44937,45373,45777,45991
"영월군",44027,42406,41538,40511,40290,40201,40265,40407,40199,40155,40150,40191,40216,40073
"평창군",46375,45311,45033,44332,44003,43706,43634,43622,43577,43627,43666,43660,43500,43318
"정선군",46225,45419,44203,43186,41806,41269,40708,41045,40181,39915,39985,39425,39197,38718
"철원군",50212,49650,48933,48024,47420,47724,47669,48928,48084,47968,47473,47590,48799,48013
"화천군",24540,24267,23732,23317,22944,24110,24216,24364,24945,25020,25079,27143,27020,26264
"양구군",21995,21692,21480,21269,21401,21303,21323,21843,22285,22799,23594,23888,24089,24010
"인제군",32092,32443,32811,32493,32079,31620,31452,31842,31970,32456,32517,32475,33255,32720
"고성군",32739,32361,31964,31285,30383,30172,30272,30112,30057,30124,30398,30269,30060,30114
"양양군",29480,29187,29132,28661,28472,28115,27957,27929,27942,27802,27659,27521,27479,27218
"충청북도",1489635,1488945,1488803,1494559,1506608,1519587,1527478,1549528,1562903,1565628,1572732,1578933,1583952,1591625
"충북 청주시",615155,624288,630939,626679,633286,638663,643161,655971,661946,666852,672904,-,-,-
"충주시",209138,207534,205907,204610,205064,206372,206613,208481,208433,208447,208115,208527,207913,208350
"제천시",140676,138872,138201,136398,136218,135738,135580,137264,137689,137521,137204,136805,136138,136517
"청주시",-,-,-,-,-,-,-,-,-,-,-,831521,831912,835197
"충북 청원군",121235,119745,119784,136538,143021,148063,149783,152944,158369,154780,155002,-,-,-
"보은군",38973,38062,37114,36293,35354,35069,34845,34956,34717,34438,34318,34240,34296,34221
"옥천군",57505,56634,55610,54923,54608,54475,54117,54025,53496,53244,52763,52469,52404,52267
"영동군",54036,52597,51800,50819,50131,50276,50426,50523,50621,50663,50539,50803,50693,50552
"진천군",59724,60347,60155,60111,60154,60715,61456,62094,63051,63458,64606,65174,67981,69950
"괴산군",40411,39586,38595,37570,36873,36566,36775,36827,37333,37713,38059,38351,38787,38973
"음성군",85771,85638,85969,86789,88355,89542,89716,91093,91644,92980,93505,95324,96396,97787
"단양군",35701,34743,34122,33346,32399,31929,31842,31817,31595,31253,31171,30948,30761,30503
