행정구역별,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
태안군,52.2,55.8,57.1,59.6,60.2,63.6,64,67.1,67.1,72.2,75,79.7
충남 당진군,35.1,41.2,41.8,45.9,50.9,54,56.3,65,72.1,-,-,-
전라북도,80.8,81.9,84,85.4,87.7,89.5,91,92.1,92.7,93.8,95,95.6
전주시,96.2,96.7,98.8,99.1,99.2,99.4,99.5,99.6,99.6,99.6,99.6,99.7
군산시,88.6,88.9,90.5,92.2,91.1,92.2,92.6,92.9,93.1,95.6,98.2,98.2
익산시,86.5,87.6,89.1,91.1,92.7,93.7,98,98.2,98.6,98.6,98.6,99
정읍시,84.6,85.1,85.2,87,89.5,90.5,90.2,92.7,94.6,96.2,97.3,98
남원시,58,62.8,64.4,67,71.7,75.1,77,79.4,81.2,82.6,85.2,86.5
김제시,68,71.4,73.6,76.1,79.5,83,87.6,84.6,86.3,89.6,99.7,99.7
완주군,30.1,29.6,31.2,33.4,46,55,58,68.8,70.1,71.4,72.5,76.4
진안군,42.7,45.2,50,50.7,50.9,56.1,57.9,61.2,61.4,62,64.2,70.6
무주군,55,55.1,56.4,58.2,63.8,66.9,68.8,70,68.5,74,74.6,73.9
장수군,41.3,44.6,45,46.3,48.1,50.7,55,60.1,63,67.2,70.4,76.4
임실군,36.6,39.1,45.6,47.3,53.1,61.5,65,64.8,71.7,78.7,82,81.9
순창군,32.8,35.8,42.4,45.6,47.4,52.8,55.2,57.8,62.3,63.3,65.2,69.1
고창군,57.5,58,65.4,72,88.1,94.3,96.3,97.7,98.2,97.8,98.9,99.1
부안군,97.2,97.3,97.6,97,97.7,97.7,97.9,99.1,98.7,99.1,99.1,99.9
전라남도,64.7,66.1,67.7,69.9,70.3,73.7,76.1,77.7,80,82.9,84.7,86.6
목포시,99.5,99.5,99.6,99.6,99.6,99.6,99.7,99.7,99.8,99.7,99.7,99.8
여수시,83.5,83.6,84.5,87.3,75.3,83.1,83.2,83.6,84.7,84.8,85.4,91.2
순천시,85.4,86,87.2,87.9,88.5,89.3,90.2,91.1,92,93,94.2,94.8
나주시,48.2,50.4,51.8,50.9,67.5,68.9,69.3,70.3,74.5,77.3,78.6,80.3
광양시,71.9,72.7,73.3,75.8,76.6,78.4,81,81.8,83.7,84.9,85.4,85.5
담양군,32.4,32.9,33.9,38.3,38.9,44.8,57.3,57.4,71.9,72.5,75.4,77.2
곡성군,40.6,42,44.1,49.8,52.3,58.8,67.6,70.2,74.2,74.5,77.9,78.3
구례군,51.9,53.2,53.9,55.1,57.5,58.2,54.8,57.5,58,62.2,58.1,58.3
고흥군,39.2,40.7,42.7,43.8,45.6,51.2,59.8,60.7,61.6,65.1,65.9,68.5
보성군,40.7,42.5,45.2,49.9,50.6,50.6,50.5,52.2,53.8,55.2,55.8,56
화순군,75.5,77.2,77.5,78.4,80.6,81.8,84,84.7,85.4,88,90.3,87.9
