"행정구역별",2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"강화군",-0.85,0.10,0.37,0.33,1.61,1.46,-0.40,0.11,-0.49,0.03,0.00,0.62,0.94,0.54
"옹진군",1.57,3.25,5.28,6.34,2.91,1.68,4.80,2.86,4.08,2.74,3.31,0.15,1.37,1.79
"광주광역시",-0.06,0.44,0.08,0.56,0.53,0.78,0.78,1.53,0.65,0.42,0.32,0.30,-0.15,-0.10
"동구",-0.54,1.17,-2.71,-0.25,1.02,-4.26,-2.02,-3.16,1.97,-0.84,-2.46,-2.11,-1.91,-2.85
"서구",0.55,0.72,-1.39,-0.66,-0.67,-0.65,-1.65,1.14,4.90,-0.44,-0.38,-1.50,-1.69,1.48
"남구",-2.37,-1.25,0.62,-1.21,-1.20,2.00,0.26,1.49,1.04,-0.33,-0.88,1.69,0.73,-0.70
"북구",-1.87,-0.89,-0.77,1.59,1.28,1.81,-1.00,-0.50,-4.72,-0.14,0.46,0.51,-0.26,-1.13
"광산구",4.39,3.26,3.69,1.78,1.60,1.69,6.96,6.12,3.39,2.56,2.16,1.36,1.10,0.83
"대전광역시",0.98,0.83,0.81,0.92,0.80,0.48,0.25,1.33,0.80,0.56,0.55,-0.01,-0.79,-0.25
"동구",-0.14,-0.64,-1.43,0.98,3.59,0.84,0.15,1.12,0.97,0.19,-0.49,-1.93,-2.32,-1.78
"중구",1.08,-0.84,0.28,-1.07,0.74,-0.23,-0.26,0.74,-0.13,-0.53,0.28,-1.38,-1.86,-1.48
"서구",0.93,1.65,0.15,-0.60,-0.56,-0.46,0.02,0.06,-0.13,-0.55,0.47,-0.55,-1.05,0.04
"유성구",3.81,4.96,8.38,10.19,3.29,3.89,2.69,5.66,4.51,3.99,2.53,4.37,2.45,2.41
"대덕구",-0.19,-0.96,-1.56,-2.51,-1.77,-0.88,-1.47,-0.25,-1.06,0.12,-0.59,-1.33,-2.24,-2.04
"울산광역시",0.81,0.84,0.66,0.72,0.89,1.27,0.26,1.11,1.01,1.09,1.06,1.13,0.63,-0.33
"중구",-0.46,0.72,0.15,-0.14,0.86,-0.96,-1.58,1.18,-0.02,0.16,0.82,1.90,2.32,-0.83
